5.3721,-6.3064,0.43639,3.3474,-0.01061,0.26667,9.5764,-1.1679,3.8161,3.1939,-0.12587,0.8,14.715,3.9707,7.9639,1.5133,0.10563,0.033333,15.597,7.1268,10.076,0.54564,-0.88769,-0.71669,0.66533,456.84
5.8393,-7.2407,2.3957,3.0644,-0.014101,0.93333,11.445,-3.0364,3.3157,3.911,0.08942,0.6,10.044,3.0364,7.7084,1.5397,-0.032219,0.033333,15.243,7.7149,10.146,0.47543,-0.84955,-0.84091,0.91487,673.65
5.8393,-4.905,2.6882,2.4061,-0.054289,0.2,11.912,-6.3064,3.7971,5.235,-0.032553,0.46667,10.044,3.0364,6.705,1.8659,0.074511,0.033333,13.35,7.5433,10.14,0.62158,-0.69706,-0.80344,0.65091,432.68
5.8393,-5.8393,2.6156,2.8621,-0.1099,0.2,14.715,-0.70071,4.6152,3.4619,0.14625,0.8,10.044,2.5693,7.2386,1.8806,-0.15626,0.033333,17.939,6.5191,10.19,0.62315,-0.74835,-0.88721,0.72648,617.85
4.905,-3.5036,1.8615,2.1625,-0.003546,0.13333,10.511,-0.70071,2.9784,3.0383,0.42213,1.9333,10.978,5.8393,8.6892,1.1475,-0.17977,0.033333,13.769,7.7993,10.137,0.52771,-0.64778,-0.8812,0.53551,305.55
5.3721,-3.9707,2.6471,2.3029,0.68326,0.066667,8.6421,-3.9707,1.6834,3.2195,-0.79614,1.0667,11.445,5.8393,8.6854,1.1516,-0.014204,0.033333,12.401,8.2083,10.096,0.52292,-0.68479,-0.48064,0.34133,176.04
8.175,-4.905,1.619,3.0491,-0.19771,0.8,13.314,-5.3721,3.3809,3.8946,0.15032,0.66667,9.5764,0.70071,7.9495,1.1799,-0.11659,0.033333,16.534,6.6188,10.13,0.65596,-0.86409,-0.47496,0.54661,428.42
5.3721,-1.635,1.8377,1.971,0.15986,0.93333,7.7079,0.23357,4.4352,2.3025,0.28714,0.033333,10.511,6.7736,8.3723,0.87625,-0.14799,0.033333,11.601,8.8233,10.146,0.36132,-0.37417,-0.83854,0.063073,214.81
5.8393,-1.635,3.033,2.3918,-0.23587,0.53333,10.044,-1.635,3.3357,3.3204,-0.0096286,0.46667,10.044,6.3064,8.1127,0.78479,0.073402,0.033333,13.252,8.1282,10.155,0.57086,-0.82411,-0.71322,0.53493,179.64
13.314,-3.0364,2.725,2.8738,-0.16323,0.33333,8.175,-3.0364,2.2925,3.3169,0.0058111,0.73333,10.044,0.23357,8.5095,0.83356,0.012222,0.033333,14.954,6.8137,10.219,0.76057,-0.85203,-0.56034,0.44654,358.56
5.8393,-2.1021,3.9828,1.9453,0.5467,0.13333,5.8393,-3.0364,-0.093429,1.9167,-0.45314,0.2,12.379,7.2407,8.8619,0.7681,-0.18777,0.033333,12.851,8.5214,10.106,0.5497,-0.74585,0.35039,-0.63972,179.03
7.2407,-3.9707,4.1438,2.0876,-0.027258,0.4,5.8393,-2.5693,0.33756,1.7647,-0.038373,2.6,12.379,6.7736,8.8338,0.762,0.0073621,0.033333,12.419,8.3923,10.159,0.40126,-0.70533,0.5963,-0.68848,692.28
5.8393,-3.9707,2.2512,2.1076,-0.096305,1.6667,7.2407,-1.635,2.3209,1.7311,-0.029265,1.3333,10.511,7.7079,9.2448,0.48492,0.0037313,0.033333,12.384,9.163,10.17,0.38133,-0.66059,0.19944,-0.28764,525.73
6.3064,-3.0364,3.9098,1.8121,-0.015739,0.2,10.044,-7.7079,0.91133,3.6501,0.070606,0.66667,10.511,0.23357,8.337,1.0767,-0.034359,0.033333,13.219,2.6733,10.154,0.52793,-0.75692,0.31578,-0.10963,1003.3
6.7736,-3.5036,4.5106,1.7894,-0.041626,0.46667,9.1093,-8.175,-2.2202,3.3247,0.01119,0.4,10.978,1.1679,7.6997,1.4014,-0.0020583,0.033333,12.731,8.155,10.031,0.39527,-0.84913,0.72467,-0.47887,1130.8
7.2407,-5.8393,1.1814,4.6387,-0.71229,0.86667,14.248,-1.1679,5.4101,2.9435,0.012555,0.33333,11.445,3.0364,6.5772,1.0739,-0.038984,0.033333,18.608,7.0032,10.205,1.0117,-0.50265,-0.45439,0.14341,315.03
7.7079,-6.3064,2.009,4.6004,-1.2426,0.53333,11.912,-2.5693,4.9345,3.8256,0.5167,0.26667,8.6421,0.70071,6.2661,0.93885,-0.13031,0.033333,13.816,6.3151,10.184,0.70783,-0.74039,-0.63337,0.57798,228.88
