0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.116411485,-0.3891858,0.4427587,-0.17531471,0.54835004,-0.15283826,-0.14561702,-0.50762403,0.11910478,0.3573723,-0.09619055,-0.1719751,0.5073171,-0.22794905,0.4229955,-0.60005474,0.29766977,0.27893257,0.53552663,-0.1530075,0.07875851,0.37933436,-0.58554125,-0.45003662,-0.07078363,0.0033155086,-0.5362271,-0.13429172,-0.5630334,0.59226114,0.36910248,-0.33587167
0.22145207,-0.4204475,0.3865865,-0.23993368,0.41272047,-0.1535526,-0.13925329,-0.48574153,0.061860655,0.36065245,-0.287727,-0.15526502,0.56323874,0.4775427,0.5429596,-0.6611872,0.19915806,0.47036672,0.3529029,-0.17835268,0.18563816,-0.057562687,-0.4129772,0.05370462,-0.038967088,0.19025634,-0.33337292,-0.2546943,-0.47252998,0.5613113,0.07731773,0.38410228
0.21247096,-0.2978189,0.26950717,-0.44655,0.5063735,-0.22921239,0.032894984,-0.49827963,0.19158056,-0.067659155,0.28731248,-0.3918051,0.50068754,-0.37668642,0.49335378,-0.5735162,0.51732457,-0.078957,0.35915026,-0.24538396,-0.25157905,0.1581101,0.07263426,0.15058029,-0.07517019,0.05818085,-0.3279788,-0.08025421,-0.613632,0.5839032,0.33575553,-0.26509914
0.5174153,0.16493481,0.044115044,-0.38706356,0.21346314,0.10686972,0.2867905,-0.37460312,0.46070018,-0.24840261,-0.18966073,-0.4669782,-0.24084066,0.3966068,-0.35379726,-0.07600324,0.23946066,0.35900772,-0.38922295,-0.28800616,-0.053268597,-0.5037456,0.6005565,0.48841068,0.025842374,0.3967076,0.37356684,-0.3978495,-0.3748663,0.4933468,-0.0052311216,0.3930057
0.18033317,-0.29613137,0.38435942,-0.2640641,0.54630905,-0.2527575,0.12237437,-0.4926772,0.27033457,0.20143381,0.074656755,-0.2836016,0.4705447,-0.3874306,0.32163516,-0.54234207,0.41155088,0.19433573,0.49828646,-0.1696573,-0.22525014,0.3064241,-0.29709524,-0.4651837,-0.15810415,-0.017263874,-0.48493966,-0.16127588,-0.59856033,0.59768057,0.4204635,-0.31624237
0.49851003,0.3184803,-0.3385192,-0.5645632,0.26665393,0.078513555,0.28225696,-0.4572547,0.48536026,-0.5093007,0.3603829,-0.6031804,0.29137418,0.112751424,-0.489027,-0.060436692,0.4462243,-0.63917494,-0.54051936,-0.35350597,-0.22692157,-0.6193686,0.784753,0.6773428,0.016095659,0.40443927,0.62908447,0.00045748678,-0.49829468,0.4929812,0.004165425,0.4804545
0.74978447,0.43762785,-0.20651333,-0.49800003,0.1831044,0.5875186,0.29898512,-0.42821473,0.65591985,-0.63975644,0.23428145,-0.59213495,-0.25346884,0.36964065,-0.65296775,0.195765,0.31409082,-0.58336323,-0.52491754,-0.397367,-0.10968232,-0.5907859,0.7569046,0.66566557,0.37607372,0.43175521,0.6388781,-0.566764,-0.41007063,0.4698594,0.061027545,0.44396886
0.68004584,0.31862307,-0.060212627,-0.51289916,0.21635501,0.5835796,0.2580913,-0.44829687,0.62448037,-0.64199406,-0.046538915,-0.5539161,-0.31581014,0.4077851,-0.63952947,0.16020542,0.17506778,-0.30225313,-0.5389856,-0.39589125,-0.15474112,-0.5578429,0.7588297,0.6467715,0.32739952,0.40374404,0.58613855,-0.48484582,-0.39767754,0.51422334,0.108548336,0.3571271
0.41344723,-0.2231562,0.23344272,-0.42949644,0.32298535,0.22576089,0.22567996,-0.4839139,0.4485108,-0.31235504,-0.34856698,-0.4169393,-0.4730202,0.4621698,-0.29172426,-0.18933456,0.026977235,0.42548668,-0.43665442,-0.30187702,-0.10693557,-0.3454845,0.346798,0.28566283,0.03725555,0.34946018,0.16298936,-0.41070908,-0.44203556,0.5877966,0.15865938,-0.041197103
0.6879243,0.38206717,-0.17105234,-0.5025538,0.16164938,0.52793163,0.2961284,-0.41260526,0.5890893,-0.541181,0.14063287,-0.56126195,-0.10814255,0.37048554,-0.58582175,0.1584932,0.32462195,-0.24194725,-0.48692825,-0.37379873,-0.071857914,-0.5751953,0.7332398,0.64816946,0.33800268,0.42943126,0.5824369,-0.4751418,-0.3758204,0.45930907,-0.04652864,0.4520317
