0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.27651444,-0.19768694,-0.68843335,-0.15208188,-0.10674245,0.59260404,0.11211264,0.6540358,0.1652446,0.16636635,0.27664173,-0.19964734,0.012508661,0.6106712,-0.05385022,0.49348906,0.75821483,0.10128963,-0.28730303,-0.5916436,0.45257795,-0.4078316,0.46429932,0.7690715,-0.16499248
0.28619775,-0.19713081,-0.6889032,-0.15363994,-0.102962814,0.5941013,0.11013023,0.65278006,0.1627387,0.15980299,0.28187096,-0.19926998,0.0094487,0.61047095,-0.027401578,0.49422282,0.7586064,0.10140156,-0.28572473,-0.5918887,0.45216402,-0.41058743,0.4622868,0.7699246,-0.16618277
0.28169066,-0.19677104,-0.69182813,-0.15250914,-0.107343175,0.5948133,0.11284694,0.6534372,0.16493505,0.16276751,0.28333864,-0.20009843,0.009447847,0.61066085,-0.045740988,0.49406737,0.7593098,0.10088173,-0.28605577,-0.5915879,0.45264232,-0.40974903,0.462312,0.7706163,-0.1642593
0.3314449,-0.19915858,-0.6933656,-0.16839318,-0.0793028,0.6014775,0.10134738,0.6463628,0.1374975,0.12548408,0.31082374,-0.1994926,-0.010238553,0.6116961,0.09823534,0.49988535,0.76092947,0.1041021,-0.2834508,-0.59454966,0.44970858,-0.4274507,0.4474173,0.7749325,-0.1745692
0.35409716,-0.19990265,-0.6910898,-0.17833082,-0.06291743,0.60348153,0.09357611,0.6430202,0.122935705,0.10644872,0.32090548,-0.19917451,-0.017716996,0.6123322,0.1716244,0.5014269,0.7603911,0.10561414,-0.28245375,-0.5954458,0.44805783,-0.43391854,0.44099894,0.7760286,-0.18093798
0.30760062,-0.1969841,-0.6901488,-0.15913108,-0.09307732,0.59748846,0.106434055,0.64999294,0.1538518,0.14263444,0.2949811,-0.19928569,0.00085207593,0.6102091,0.033291265,0.49611783,0.75920004,0.101663545,-0.2842216,-0.59246165,0.450823,-0.4172469,0.4560038,0.7720617,-0.16988757
0.31218803,-0.19769882,-0.6909819,-0.15913796,-0.09090151,0.59832835,0.10627869,0.6493908,0.15240572,0.14102973,0.29753605,-0.19854403,-0.00091186515,0.6103525,0.04410617,0.4972151,0.75976473,0.10237555,-0.2845927,-0.5929411,0.45081177,-0.41971558,0.45481035,0.7725807,-0.16995244
0.3143691,-0.19814634,-0.6927588,-0.1591639,-0.090547726,0.59928226,0.106593505,0.6491695,0.15145177,0.14055489,0.30013385,-0.19856325,-0.0024424258,0.6107779,0.046053275,0.49789813,0.7604921,0.10274432,-0.2847386,-0.593246,0.45102838,-0.4213456,0.45398703,0.77333224,-0.16957298
0.30661434,-0.1982534,-0.6917632,-0.1569039,-0.094418414,0.5977904,0.10767168,0.64993066,0.15442881,0.14530191,0.29546356,-0.19837637,8.846517e-05,0.6101327,0.027244516,0.49744767,0.76002055,0.10231892,-0.28462735,-0.59288776,0.45110348,-0.41889372,0.45604625,0.77226007,-0.16871025
0.31527096,-0.19783755,-0.69209516,-0.16011705,-0.08975866,0.599172,0.10587309,0.64900017,0.15085003,0.13918938,0.30019382,-0.19870912,-0.0025765435,0.6106492,0.05064029,0.4976962,0.76029164,0.10264571,-0.2842356,-0.5932748,0.45079374,-0.42110696,0.45375535,0.7732055,-0.17023368
