0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-0.5749547,-0.75369465,-0.8242457,-0.8453189,-0.7686524,0.62138563,0.6080429,0.812086,0.35356048,0.7316359,0.2223579,-0.6470562,-0.81625545,-0.8248942,-0.773645
-0.55357724,-0.7371452,-0.8053841,-0.82639945,-0.7544282,0.64272344,0.5952726,0.7848158,0.34034076,0.714373,0.20757815,-0.63039875,-0.7537136,-0.7628375,-0.75898874
-0.64326435,-0.7724199,-0.8009007,-0.84680885,-0.7502556,0.6734559,0.65805024,0.83770025,0.36237085,0.7573169,0.16847818,-0.6215361,-0.6344892,-0.7224746,-0.7797028
-0.58288985,-0.79400945,-0.8570688,-0.86639476,-0.7623224,0.6057214,0.5976988,0.8174142,0.3255677,0.77085817,-0.34140542,-0.5544953,-0.80671006,-0.8405083,-0.7732994
-0.60932386,-0.7850917,-0.8426394,-0.86360765,-0.7827732,0.62826735,0.62727916,0.8190582,0.36097664,0.7677735,0.14231102,-0.64457613,-0.8048537,-0.8239742,-0.79676986
-0.6221827,-0.7807083,-0.7829243,-0.8466299,-0.72102046,0.6969595,0.63486767,0.82282305,0.29437563,0.7500692,-0.59769094,-0.62010294,-0.7571594,-0.69128406,-0.7503664
-0.5701661,-0.7644878,-0.8144141,-0.8509682,-0.7385108,0.60826087,0.6452133,0.8373584,0.35918635,0.72575384,0.016955622,-0.649616,-0.840324,-0.8318997,-0.7494923
-0.5916365,-0.78737414,-0.8561103,-0.86821795,-0.788909,0.60005826,0.6291251,0.826911,0.35503128,0.74942404,0.16211657,-0.6526935,-0.82044894,-0.8520176,-0.78658456
-0.58596,-0.80289954,-0.8601648,-0.8735186,-0.7840181,0.6004832,0.6289507,0.8518949,0.3336011,0.7798579,-0.29757193,-0.60325223,-0.7897297,-0.844387,-0.77885777
-0.58023125,-0.7804701,-0.8413564,-0.86365104,-0.75830346,0.5982332,0.61191636,0.824993,0.34097883,0.7480019,-0.19310392,-0.6291247,-0.8087016,-0.8356812,-0.7642616
-0.6376663,-0.7808709,-0.81003714,-0.8573896,-0.75612,0.6634124,0.64295006,0.83465326,0.36703295,0.7646705,0.03346084,-0.64988846,-0.7322208,-0.7610062,-0.7890051
-0.65075606,-0.7779589,-0.79110765,-0.85622865,-0.7409262,0.6737725,0.6331021,0.8292784,0.34700677,0.75875986,-0.1799905,-0.57537884,-0.7340251,-0.71957797,-0.7754279
-0.60049087,-0.7477527,-0.7588857,-0.8245416,-0.7029201,0.6984788,0.6517162,0.80987227,0.3857406,0.7449887,-0.053581372,-0.66923285,-0.71578264,-0.64756787,-0.7480754
-0.5810058,-0.7088208,-0.71389675,-0.8066999,-0.67462176,0.69353116,0.64998156,0.8017035,0.40149295,0.72683793,0.09664699,-0.70567644,-0.71880406,-0.652809,-0.60675126
