0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.0713708,0.2416305,-0.17708059,0.6409723,0.2767585,-0.76737374,0.7443623,-0.5110945,0.70501286,0.53491294,-0.2930961,0.121510446,-0.5616132,0.57342017,-0.72605455,-0.1157471,-0.63057005,0.6236029,0.43466562,0.7960304
0.072145656,0.24012418,-0.1793932,0.63988215,0.27149135,-0.7684794,0.7447872,-0.5093652,0.7047488,0.5348771,-0.29470384,0.12569013,-0.56245697,0.57410896,-0.72626996,-0.11966533,-0.6230589,0.6247734,0.4315249,0.79621273
0.07322454,0.23802647,-0.18062691,0.6391347,0.26844564,-0.76972127,0.7451337,-0.5077244,0.70520014,0.53448564,-0.29635248,0.12883763,-0.5638654,0.57514006,-0.72661287,-0.12566468,-0.61949307,0.625872,0.42919183,0.7965177
0.07043791,0.22585836,-0.18901756,0.6367498,0.25576606,-0.77566206,0.7473627,-0.5007762,0.7106846,0.5368833,-0.30452386,0.1372378,-0.56780106,0.58079094,-0.72990733,-0.14162326,-0.60248226,0.6325716,0.41844055,0.79767203
0.07558978,0.2271916,-0.1958703,0.6347297,0.25329533,-0.7781345,0.74862206,-0.4988778,0.70966965,0.5402351,-0.3100412,0.14882311,-0.57325816,0.5848472,-0.7320587,-0.14490303,-0.58950126,0.63271713,0.41408846,0.7958661
0.07401216,0.23989257,-0.18263616,0.6386643,0.27063924,-0.7695601,0.7455042,-0.5076691,0.7045543,0.53524226,-0.2975848,0.13280325,-0.56550205,0.57597166,-0.72686267,-0.12597227,-0.6145592,0.6243562,0.42827466,0.7958838
0.07208358,0.23765539,-0.18828154,0.6385502,0.27042723,-0.77224493,0.7474347,-0.50597125,0.7075838,0.53774345,-0.30161497,0.13608527,-0.5677849,0.57919246,-0.7292483,-0.12493368,-0.6079955,0.6260348,0.42562914,0.7959787
0.07240449,0.22930261,-0.19109511,0.6365329,0.25931898,-0.77546895,0.74771416,-0.5016888,0.7094238,0.53866935,-0.30545565,0.14032659,-0.5695651,0.58162946,-0.7305225,-0.13735248,-0.6001559,0.63071704,0.4191458,0.79641384
0.07552373,0.22461839,-0.18994987,0.6350733,0.24880013,-0.7773235,0.74709105,-0.49836162,0.70868826,0.5365805,-0.30640236,0.14411084,-0.57035524,0.5818368,-0.73015916,-0.15146902,-0.59396106,0.63397586,0.41498527,0.7973612
0.07208049,0.23072375,-0.18930313,0.6371946,0.26097256,-0.7747657,0.74752074,-0.5024622,0.7091258,0.53760207,-0.30397353,0.13851003,-0.56871045,0.58065516,-0.7299027,-0.13627233,-0.6025495,0.63026464,0.4207329,0.7968438
0.07467344,0.22428621,-0.18898283,0.6358746,0.2509912,-0.77763903,0.747393,-0.498319,0.70965856,0.5360758,-0.30585015,0.14217053,-0.5699599,0.5816816,-0.7302703,-0.15094276,-0.5973993,0.634223,0.41590327,0.7981347
0.07230377,0.22828741,-0.19658794,0.63596547,0.25935987,-0.7776553,0.7492955,-0.49997422,0.7114029,0.5404245,-0.30966133,0.14676511,-0.5726781,0.5848512,-0.7323444,-0.13981786,-0.59183425,0.6315465,0.41587555,0.7962518
0.076305136,0.22879496,-0.1857979,0.6362187,0.2540957,-0.7749657,0.7460816,-0.5005075,0.70683444,0.53448695,-0.30285457,0.14033896,-0.56860715,0.5791861,-0.7284456,-0.14891289,-0.60120225,0.6316752,0.41897714,0.79751366
