0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-0.22925197,-0.21787697,0.6454747,-0.6661844,-0.67741567,0.6501972,0.7226007,-0.28745028,0.58694696,-0.007097737,0.60941607,-0.6794935,0.6275096,-0.729965,0.12015956
0.7218025,0.6586983,0.72315496,-0.570379,-0.69020617,0.6444773,0.73785865,-0.7084004,0.75786436,-0.58348805,0.6641932,-0.7700396,0.7284144,-0.73752594,0.5811903
-0.50876987,-0.15882824,0.24953388,-0.7254828,-0.6767815,0.66840863,0.6855074,0.5538522,0.57544327,-0.24793203,0.49957928,-0.732955,-0.5885252,-0.6988456,0.26471227
-0.19488087,0.33429357,0.1821876,-0.6407398,-0.5533758,0.6287804,0.6523604,0.5878355,0.60832596,-0.3861207,0.28171575,-0.6524006,-0.80410904,-0.5880769,0.45304653
0.7380761,0.6032005,0.60389423,-0.48177207,-0.56256396,0.6029505,0.7247029,-0.49706593,0.7914359,-0.6938281,0.6157038,-0.7753979,0.59524673,-0.58803165,0.78479886
0.19165568,0.62127584,0.61999094,-0.6169641,-0.6419632,0.6226951,0.6926602,-0.37429187,0.71765494,-0.6292506,0.51627535,-0.7232631,-0.7883165,-0.7009054,0.548141
0.7694664,0.61581206,0.61395085,-0.47374132,-0.5676107,0.659269,0.76355404,-0.51334345,0.81381124,-0.71906376,0.6642138,-0.7951061,0.7995864,-0.5748295,0.7991929
0.8114679,0.6676683,0.70825624,-0.5307753,-0.6359148,0.6504029,0.771412,-0.6484278,0.81300133,-0.7507012,0.6959242,-0.8298676,0.80431706,-0.658366,0.840164
0.703637,0.6747657,0.68389034,-0.56575835,-0.67867327,0.6574955,0.7468293,-0.649342,0.767552,-0.64341617,0.6568255,-0.8005209,0.46034792,-0.7005446,0.8204895
0.7078171,0.6242642,0.65999806,-0.5174031,-0.62131596,0.6157171,0.7114682,-0.6122224,0.76713914,-0.62115896,0.5940128,-0.75612056,0.2788586,-0.65692985,0.7759009
